Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
28,0.004000,0.404691,0.691432,1.969136,2.860443,185.030045,176.627386,0.049207,0.056902,0.100125,0.105135,7.241683,7.602133,0.000446,0.000524,0.000948,0.001011,0.072379,0.076605,0.002118,0.002301
29,0.004000,0.404632,0.684417,2.056685,1.537417,193.893455,162.798032,0.048499,0.055023,0.099484,0.101839,7.155824,7.610923,0.000439,0.000505,0.000943,0.000976,0.071521,0.076719,0.002097,0.002249
30,0.004000,0.400617,0.689731,2.029259,3.119366,177.314897,182.882998,0.047670,0.056064,0.098438,0.103688,7.055967,7.845074,0.000431,0.000516,0.000936,0.000998,0.070519,0.078968,0.002072,0.002304
31,0.004000,0.403903,0.685695,2.005264,2.725557,182.736713,163.796124,0.047281,0.056807,0.097666,0.103297,7.043108,7.543387,0.000427,0.000523,0.000925,0.000996,0.070392,0.076012,0.002056,0.002279
32,0.004000,0.399671,0.686050,1.899159,2.473301,163.014397,185.950901,0.046118,0.053894,0.095764,0.100205,6.836736,7.616619,0.000416,0.000495,0.000906,0.000962,0.068328,0.076755,0.002005,0.002224
33,0.004000,0.401155,0.686347,1.927583,0.877209,200.188008,179.366983,0.046120,0.056578,0.095387,0.095987,6.952589,7.452907,0.000416,0.000521,0.000903,0.000917,0.069484,0.075069,0.002014,0.002189
34,0.004000,0.406432,0.685370,1.930081,2.776739,202.131862,175.839394,0.045973,0.051912,0.095413,0.102498,6.991354,7.703352,0.000414,0.000475,0.000904,0.000984,0.069874,0.077640,0.002017,0.002235
35,0.004000,0.400443,0.688632,1.900923,0.563674,173.367795,173.136562,0.044831,0.055837,0.093830,0.095606,6.756441,7.378973,0.000403,0.000513,0.000887,0.000912,0.067525,0.074377,0.001965,0.002169
36,0.004000,0.398210,0.684984,1.919300,2.909959,163.766891,176.370332,0.044409,0.053954,0.093666,0.099695,6.615290,7.499627,0.000399,0.000495,0.000887,0.000958,0.066114,0.075603,0.001947,0.002208
37,0.004000,0.399650,0.690265,2.011292,2.508006,163.800737,183.858882,0.044188,0.053566,0.093748,0.099854,6.669408,7.738320,0.000396,0.000491,0.000888,0.000959,0.066657,0.077905,0.001951,0.002229
38,0.004000,0.403581,0.687171,1.935754,0.587713,189.673120,186.559498,0.044295,0.053277,0.093082,0.093516,6.706849,7.400962,0.000398,0.000488,0.000881,0.000892,0.067028,0.074544,0.001949,0.002125
39,0.004000,0.398761,0.685891,1.936148,2.830245,174.719281,191.149647,0.043454,0.050088,0.091887,0.099945,6.647164,7.375710,0.000389,0.000457,0.000870,0.000964,0.066431,0.074323,0.001923,0.002164
40,0.004000,0.397753,0.686691,1.945144,2.443247,162.844548,163.186769,0.042849,0.052974,0.091795,0.096865,6.538406,7.248076,0.000383,0.000485,0.000867,0.000929,0.065344,0.072991,0.001903,0.002144
41,0.004000,0.398029,0.683919,1.818270,0.554185,170.834804,193.981787,0.042471,0.051269,0.090569,0.091912,6.540254,7.359651,0.000379,0.000468,0.000855,0.000876,0.065364,0.074144,0.001888,0.002086
42,0.004000,0.399860,0.686366,1.923157,1.168456,228.971381,175.390846,0.042244,0.050642,0.089719,0.092711,6.604520,7.118987,0.000377,0.000462,0.000848,0.000886,0.066005,0.071703,0.001885,0.002065
43,0.004000,0.397091,0.684376,1.922256,2.742581,167.214375,181.575670,0.041863,0.050593,0.090199,0.096653,6.450167,7.436314,0.000374,0.000462,0.000852,0.000926,0.064462,0.074924,0.001870,0.002137
44,0.004000,0.397481,0.683351,1.841490,0.519992,170.118468,175.094708,0.041373,0.050789,0.088689,0.088444,6.415876,7.150489,0.000369,0.000463,0.000837,0.000842,0.064118,0.072052,0.001847,0.002026
45,0.004000,0.396716,0.689265,1.798947,2.931479,173.954890,189.716609,0.041128,0.051850,0.088471,0.096013,6.335561,7.718329,0.000366,0.000474,0.000832,0.000921,0.063315,0.077702,0.001832,0.002172
46,0.004000,0.398444,0.683521,1.869647,2.583724,175.548949,166.626356,0.040995,0.048248,0.088653,0.095754,6.424984,7.237027,0.000365,0.000439,0.000835,0.000918,0.064209,0.072909,0.001842,0.002086
47,0.004000,0.402522,0.684389,1.898979,1.203559,180.608833,183.932539,0.040981,0.047711,0.088155,0.089277,6.410279,7.041816,0.000365,0.000433,0.000831,0.000849,0.064063,0.070972,0.001837,0.001992
48,0.004000,0.396689,0.684954,1.807127,1.195170,164.854367,175.014110,0.040146,0.047945,0.086264,0.093262,6.258067,6.942687,0.000357,0.000436,0.000812,0.000891,0.062541,0.069965,0.001794,0.002026
49,0.004000,0.395559,0.687686,1.779130,3.013918,165.740148,174.742351,0.039761,0.049416,0.085970,0.091831,6.233596,6.943033,0.000353,0.000450,0.000808,0.000879,0.062296,0.069992,0.001784,0.002029
50,0.004000,0.397505,0.680968,1.921063,0.868262,165.394768,176.257516,0.039682,0.047306,0.086688,0.089908,6.251278,7.049057,0.000352,0.000429,0.000817,0.000855,0.062474,0.071001,0.001794,0.001995
51,0.004000,0.396932,0.684726,1.788815,3.006947,160.262921,181.277729,0.039410,0.047870,0.085714,0.093265,6.173305,6.964325,0.000349,0.000435,0.000807,0.000892,0.061693,0.070182,0.001774,0.002028
52,0.004000,0.396333,0.684453,1.869330,2.757017,160.406861,171.775407,0.039126,0.048394,0.085862,0.091328,6.201506,7.169454,0.000347,0.000440,0.000808,0.000874,0.061974,0.072249,0.001774,0.002037
53,0.004000,0.396025,0.683210,1.832700,2.703087,163.182444,181.837994,0.038991,0.047406,0.085258,0.095575,6.176757,7.606659,0.000345,0.000430,0.000803,0.000914,0.061728,0.076618,0.001765,0.002111
54,0.004000,0.396705,0.681401,1.952623,1.228778,160.352482,162.561701,0.038883,0.046531,0.085503,0.087956,6.112975,6.933460,0.000344,0.000421,0.000806,0.000837,0.061089,0.069909,0.001761,0.001957
55,0.004000,0.395648,0.684149,1.777779,0.762627,159.209436,183.116732,0.038313,0.046965,0.083457,0.087455,6.072967,6.879744,0.000339,0.000426,0.000785,0.000831,0.060689,0.069350,0.001731,0.001950
56,0.004000,0.396075,0.681802,1.850612,1.229355,185.881369,164.179297,0.038186,0.046998,0.083875,0.088098,6.141118,6.996892,0.000337,0.000426,0.000791,0.000838,0.061369,0.070557,0.001742,0.001970
57,0.004000,0.394799,0.680874,1.773133,0.462505,158.650690,172.426287,0.037928,0.046961,0.083614,0.086602,6.033023,6.953061,0.000335,0.000426,0.000784,0.000822,0.060291,0.070093,0.001722,0.001949
58,0.004000,0.396232,0.688052,1.842701,2.638058,174.017246,166.104701,0.037901,0.048097,0.083229,0.090064,6.082403,6.955888,0.000335,0.000437,0.000782,0.000861,0.060785,0.070130,0.001725,0.001999
