epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.331637,0.245574,21.539525,0.003267,0.002398,0.215359,0.007819,0.211734,0.211390,19.908090,0.002066,0.002087,0.198512,0.006138,0.215472,0.223262,21.915520,0.002120,0.002202,0.220512,0.006527
2,0.009950,0.195844,0.225585,20.190233,0.001909,0.002201,0.201869,0.006129,0.171594,0.209291,17.995051,0.001665,0.002065,0.179459,0.005525,0.172616,0.218937,19.783276,0.001689,0.002155,0.198807,0.005833
3,0.009900,0.166522,0.214811,17.991412,0.001616,0.002094,0.179882,0.005509,0.147365,0.189609,15.955535,0.001423,0.001866,0.159197,0.004881,0.144312,0.202555,17.787439,0.001398,0.001985,0.180897,0.005193
4,0.009850,0.138501,0.190358,15.019423,0.001336,0.001853,0.150155,0.004691,0.122237,0.176454,12.259591,0.001172,0.001731,0.122547,0.004129,0.118932,0.185708,14.353596,0.001145,0.001827,0.144630,0.004419
5,0.009800,0.119694,0.173409,13.756433,0.001148,0.001684,0.137526,0.004207,0.110281,0.166460,12.296175,0.001054,0.001630,0.122798,0.003912,0.106742,0.178094,14.460361,0.001026,0.001753,0.147354,0.004253
6,0.009750,0.102592,0.160063,12.120886,0.000978,0.001552,0.121176,0.003741,0.099369,0.153349,11.862970,0.000944,0.001498,0.118513,0.003627,0.093034,0.164250,13.823777,0.000887,0.001617,0.140016,0.003904
7,0.009700,0.092049,0.149455,11.098080,0.000872,0.001446,0.110948,0.003428,0.095346,0.144345,10.767829,0.000904,0.001409,0.107466,0.003388,0.087758,0.150646,11.674204,0.000832,0.001484,0.118258,0.003499
8,0.009650,0.083274,0.140470,10.219392,0.000785,0.001357,0.102158,0.003163,0.084560,0.138858,9.875170,0.000797,0.001352,0.098597,0.003135,0.075633,0.141422,10.603078,0.000709,0.001391,0.106760,0.003168
9,0.009600,0.077527,0.134212,9.784899,0.000728,0.001295,0.097812,0.003001,0.081767,0.133477,8.946219,0.000769,0.001299,0.089343,0.002961,0.074216,0.135250,9.831867,0.000696,0.001327,0.099404,0.003018
10,0.009550,0.073088,0.130564,9.423204,0.000683,0.001259,0.094198,0.002884,0.080593,0.126478,8.561277,0.000757,0.001228,0.085492,0.002840,0.072451,0.131252,9.983444,0.000679,0.001287,0.101145,0.002978
11,0.009500,0.068799,0.125735,9.022329,0.000641,0.001210,0.090193,0.002752,0.072037,0.125286,9.154220,0.000672,0.001215,0.091387,0.002802,0.062043,0.128242,9.609276,0.000574,0.001252,0.096517,0.002791
12,0.009450,0.065746,0.121340,8.726530,0.000610,0.001167,0.087236,0.002650,0.073675,0.120141,8.383591,0.000688,0.001164,0.083670,0.002689,0.064746,0.124418,9.776915,0.000602,0.001216,0.099591,0.002814
13,0.009400,0.062427,0.118106,8.558869,0.000577,0.001135,0.085555,0.002567,0.065356,0.117181,8.164399,0.000606,0.001133,0.081506,0.002554,0.056998,0.117124,8.942606,0.000526,0.001143,0.090018,0.002569
14,0.009350,0.060469,0.116134,8.360587,0.000558,0.001115,0.083573,0.002509,0.064613,0.114927,8.519973,0.000599,0.001111,0.085028,0.002560,0.055055,0.114822,8.990283,0.000505,0.001123,0.090227,0.002530
15,0.009300,0.057916,0.112666,8.075973,0.000532,0.001080,0.080728,0.002420,0.063596,0.114331,8.234484,0.000589,0.001106,0.082156,0.002516,0.056576,0.115420,9.248716,0.000522,0.001116,0.093396,0.002572
16,0.009250,0.055894,0.110773,7.962882,0.000512,0.001062,0.079595,0.002371,0.064335,0.113966,8.076114,0.000596,0.001101,0.080610,0.002503,0.055777,0.113350,8.870387,0.000512,0.001102,0.089734,0.002512
17,0.009200,0.054456,0.108265,7.703740,0.000498,0.001036,0.077007,0.002304,0.059846,0.108785,8.714712,0.000551,0.001049,0.086982,0.002470,0.051836,0.114428,9.671714,0.000474,0.001114,0.097147,0.002560
18,0.009150,0.053082,0.106258,7.684098,0.000485,0.001017,0.076808,0.002270,0.059864,0.117750,9.503267,0.000551,0.001138,0.094940,0.002639,0.051248,0.117512,10.278034,0.000467,0.001148,0.103100,0.002646
19,0.009100,0.052097,0.107701,7.652967,0.000475,0.001032,0.076496,0.002272,0.057592,0.101685,7.584678,0.000529,0.000977,0.075697,0.002263,0.049498,0.109132,8.366723,0.000449,0.001068,0.083853,0.002356
20,0.009050,0.050766,0.103758,7.531422,0.000462,0.000992,0.075280,0.002206,0.058380,0.106034,7.439323,0.000536,0.001021,0.074278,0.002301,0.049886,0.109169,8.626153,0.000455,0.001061,0.086754,0.002384
21,0.009000,0.049417,0.101405,7.331415,0.000448,0.000969,0.073283,0.002150,0.055192,0.100564,7.609028,0.000505,0.000965,0.075939,0.002230,0.047847,0.111682,8.639996,0.000434,0.001103,0.086631,0.002403
22,0.008950,0.048585,0.099983,7.323079,0.000440,0.000955,0.073198,0.002127,0.057182,0.106615,8.317144,0.000525,0.001029,0.083101,0.002385,0.049110,0.104516,9.663080,0.000447,0.001008,0.097508,0.002429
23,0.008900,0.047392,0.098227,7.093428,0.000428,0.000937,0.070903,0.002074,0.055227,0.099885,7.287127,0.000505,0.000961,0.072755,0.002194,0.048162,0.107178,8.612750,0.000438,0.001049,0.086369,0.002350
24,0.008850,0.047089,0.097709,7.100550,0.000425,0.000932,0.070974,0.002066,0.053206,0.097835,7.474485,0.000486,0.000939,0.074626,0.002171,0.045587,0.101648,8.848291,0.000412,0.000980,0.089756,0.002290
25,0.008800,0.045831,0.096103,7.014953,0.000413,0.000915,0.070116,0.002029,0.053323,0.104119,6.949080,0.000487,0.001002,0.069407,0.002183,0.045211,0.105720,8.408224,0.000409,0.001031,0.084578,0.002286
26,0.008750,0.045624,0.096028,7.029129,0.000411,0.000915,0.070258,0.002029,0.053650,0.102947,7.319546,0.000490,0.000990,0.073087,0.002211,0.045711,0.101971,8.502658,0.000413,0.000982,0.085726,0.002253
27,0.008700,0.044472,0.094098,6.868399,0.000399,0.000896,0.068653,0.001982,0.053332,0.099340,7.533509,0.000487,0.000955,0.075195,0.002194,0.045968,0.102916,8.733458,0.000415,0.001000,0.087823,0.002293
28,0.008650,0.043961,0.092820,6.726375,0.000394,0.000883,0.067232,0.001949,0.049393,0.089692,6.881307,0.000448,0.000857,0.068719,0.001993,0.041578,0.097556,8.252234,0.000372,0.000948,0.083565,0.002156
29,0.008600,0.042913,0.091491,6.767440,0.000384,0.000870,0.067642,0.001930,0.051023,0.093423,7.158774,0.000465,0.000895,0.071454,0.002074,0.042204,0.100684,8.567219,0.000378,0.000982,0.085809,0.002218
30,0.008550,0.043233,0.091652,6.826991,0.000387,0.000872,0.068237,0.001941,0.052548,0.095491,7.024816,0.000479,0.000917,0.070154,0.002097,0.044039,0.098553,8.480998,0.000399,0.000964,0.086363,0.002227
31,0.008500,0.042183,0.090107,6.541263,0.000377,0.000856,0.065380,0.001887,0.049608,0.093556,6.794488,0.000450,0.000897,0.067837,0.002026,0.042850,0.102047,8.399155,0.000385,0.001004,0.084157,0.002231
32,0.008450,0.041556,0.089187,6.528299,0.000370,0.000847,0.065250,0.001870,0.048830,0.094626,7.015877,0.000443,0.000908,0.070059,0.002051,0.040497,0.095994,8.363762,0.000362,0.000924,0.084420,0.002130
33,0.008400,0.040837,0.088009,6.399614,0.000363,0.000835,0.063964,0.001838,0.047983,0.089994,7.101647,0.000434,0.000861,0.070899,0.002004,0.039592,0.093657,7.837911,0.000354,0.000911,0.078816,0.002053
34,0.008350,0.041216,0.088935,6.530483,0.000367,0.000845,0.065271,0.001865,0.047795,0.090149,6.942237,0.000432,0.000862,0.069277,0.001987,0.037948,0.092382,7.445164,0.000337,0.000894,0.074663,0.001977
35,0.008300,0.040336,0.087357,6.379073,0.000358,0.000829,0.063758,0.001825,0.048081,0.092551,6.975414,0.000436,0.000888,0.069642,0.002020,0.039750,0.095157,8.307235,0.000356,0.000922,0.083924,0.002117
36,0.008250,0.039545,0.086427,6.321137,0.000351,0.000819,0.063178,0.001802,0.046194,0.089425,6.908567,0.000417,0.000855,0.068981,0.001961,0.037529,0.090886,8.084882,0.000333,0.000879,0.081124,0.002023
37,0.008200,0.039196,0.084516,6.242153,0.000347,0.000801,0.062389,0.001772,0.047368,0.089059,6.713380,0.000428,0.000852,0.067053,0.001951,0.038725,0.091408,7.724291,0.000345,0.000888,0.077853,0.002012
38,0.008150,0.039361,0.085003,6.319137,0.000349,0.000806,0.063158,0.001787,0.047069,0.091901,7.029613,0.000425,0.000881,0.070184,0.002009,0.037822,0.093965,8.368286,0.000336,0.000911,0.084838,0.002096
39,0.008100,0.038795,0.084757,6.207470,0.000343,0.000803,0.062041,0.001766,0.046547,0.092769,6.742147,0.000420,0.000890,0.067325,0.001984,0.038461,0.091508,8.185779,0.000342,0.000884,0.082254,0.002048
40,0.008050,0.038276,0.084070,6.151465,0.000338,0.000796,0.061483,0.001749,0.045905,0.087916,6.719047,0.000414,0.000840,0.067071,0.001924,0.037019,0.091958,8.098161,0.000327,0.000888,0.081441,0.002029
