epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.311661,0.246024,21.610740,0.003067,0.002403,0.216070,0.007630,0.207463,0.213935,19.460923,0.002023,0.002112,0.193980,0.006075,0.211502,0.225337,20.645893,0.002079,0.002226,0.208469,0.006390
2,0.009950,0.188177,0.220943,19.348474,0.001833,0.002155,0.193454,0.005922,0.169796,0.200657,16.099083,0.001648,0.001978,0.160658,0.005232,0.170916,0.208768,18.560198,0.001673,0.002057,0.186304,0.005593
3,0.009900,0.163303,0.211296,17.256372,0.001584,0.002059,0.172524,0.005369,0.143272,0.190563,14.600733,0.001383,0.001875,0.145743,0.004716,0.137306,0.197119,15.513837,0.001330,0.001945,0.155912,0.004834
4,0.009850,0.139475,0.190977,15.327779,0.001346,0.001858,0.153239,0.004737,0.134350,0.181132,12.823866,0.001294,0.001780,0.128189,0.004356,0.127929,0.185685,14.558058,0.001235,0.001831,0.146069,0.004526
5,0.009800,0.124994,0.177921,14.055615,0.001201,0.001729,0.140519,0.004336,0.118849,0.169726,12.529366,0.001138,0.001663,0.125045,0.004052,0.114145,0.174845,13.923950,0.001099,0.001726,0.140476,0.004230
6,0.009750,0.112403,0.166310,12.939369,0.001076,0.001613,0.129361,0.003982,0.113703,0.162408,11.176116,0.001087,0.001589,0.111629,0.003793,0.111461,0.167447,12.746254,0.001070,0.001636,0.128441,0.003991
7,0.009700,0.101385,0.155722,12.069008,0.000966,0.001508,0.120654,0.003680,0.103520,0.143823,10.307771,0.000986,0.001399,0.102979,0.003415,0.098754,0.155083,11.521220,0.000945,0.001518,0.115506,0.003618
8,0.009650,0.092524,0.148330,10.921468,0.000877,0.001435,0.109180,0.003404,0.092706,0.141796,9.714435,0.000878,0.001381,0.097051,0.003229,0.086714,0.143891,10.652375,0.000826,0.001425,0.106954,0.003321
9,0.009600,0.086189,0.139856,10.482239,0.000814,0.001351,0.104791,0.003213,0.090756,0.154640,9.582369,0.000859,0.001513,0.095710,0.003329,0.084470,0.146860,11.155650,0.000801,0.001433,0.112164,0.003356
10,0.009550,0.081816,0.136314,10.208587,0.000770,0.001317,0.102050,0.003108,0.086404,0.135620,9.489533,0.000815,0.001320,0.094817,0.003084,0.079547,0.135020,10.968077,0.000752,0.001306,0.109713,0.003155
