epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss
1,75631,0.009789,0.037209,0.113648,10.073172,0.000326,0.001087,0.100682,0.002420,0.397095,0.741766,39.758896,0.003921,0.007401,0.397620,0.015298
1,77621,0.009778,0.070152,0.184932,10.902212,0.000654,0.001804,0.108972,0.003547,0.045783,0.136026,8.773116,0.000410,0.001314,0.087710,0.002601
1,79611,0.009766,0.038592,0.122216,8.147352,0.000339,0.001175,0.081424,0.002328,0.032181,0.115281,7.595639,0.000277,0.001105,0.075939,0.002141
1,81602,0.009754,0.055503,0.146700,9.928283,0.000508,0.001419,0.099233,0.002919,0.053565,0.137003,9.349944,0.000488,0.001323,0.093481,0.002745
1,83592,0.009742,0.039827,0.123869,8.148595,0.000352,0.001191,0.081436,0.002357,0.040229,0.117265,7.644684,0.000356,0.001125,0.076423,0.002245
1,85582,0.009729,0.036529,0.114362,7.738993,0.000319,0.001096,0.077340,0.002189,0.034703,0.110597,7.477033,0.000301,0.001058,0.074751,0.002107
1,87572,0.009716,0.035212,0.112612,7.724689,0.000306,0.001079,0.077197,0.002157,0.034396,0.110177,7.391500,0.000298,0.001054,0.073892,0.002091
1,89563,0.009703,0.033946,0.109416,7.584393,0.000294,0.001047,0.075794,0.002099,0.030884,0.105874,7.367029,0.000263,0.001011,0.073652,0.002011
1,91553,0.009689,0.045158,0.132783,8.917736,0.000405,0.001281,0.089127,0.002578,0.038117,0.114582,7.853253,0.000334,0.001098,0.078510,0.002218
1,93543,0.009676,0.035027,0.111888,7.871853,0.000304,0.001072,0.078669,0.002163,0.037086,0.109939,7.928759,0.000324,0.001052,0.079261,0.002169
1,95533,0.009662,0.033433,0.108747,7.622346,0.000288,0.001040,0.076174,0.002091,0.037961,0.107576,7.390358,0.000333,0.001027,0.073877,0.002099
1,97524,0.009647,0.032669,0.108010,7.563946,0.000281,0.001033,0.075590,0.002070,0.032988,0.109161,7.744422,0.000284,0.001044,0.077424,0.002103
1,99514,0.009632,0.032225,0.106853,7.504875,0.000277,0.001021,0.074999,0.002048,0.032864,0.109834,7.382952,0.000283,0.001051,0.073806,0.002072
1,101504,0.009618,0.035532,0.110647,7.756664,0.000309,0.001059,0.077517,0.002143,0.028003,0.104481,7.246225,0.000236,0.000997,0.072442,0.001957
1,103495,0.009602,0.032790,0.107068,7.609973,0.000282,0.001023,0.076050,0.002066,0.035798,0.104972,7.368844,0.000311,0.001002,0.073666,0.002050
