epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.01,0.307418,0.246247,21.566515,0.003025,0.002405,0.215627,0.007586,0.197945,0.21303,18.840916,0.001927,0.002103,0.187878,0.005909,0.203515,0.227081,21.570235,0.002004,0.002235,0.221529,0.006454
2,0.00995,0.186532,0.22077,19.703662,0.001816,0.002153,0.197001,0.005939,0.167827,0.200198,16.18554,0.001628,0.001973,0.161551,0.005216,0.170454,0.212168,18.345801,0.001668,0.002081,0.183395,0.005583
3,0.0099,0.167533,0.213039,18.304599,0.001626,0.002076,0.183011,0.005533,0.147309,0.200938,15.264424,0.001423,0.00198,0.152404,0.004927,0.147917,0.21038,16.822968,0.00144,0.002067,0.169722,0.005204
4,0.00985,0.142551,0.192122,15.620246,0.001377,0.001871,0.156165,0.004809,0.131966,0.179969,14.566034,0.001269,0.001767,0.145388,0.00449,0.128036,0.198473,16.44447,0.001248,0.001983,0.166678,0.004898
5,0.0098,0.126787,0.17808,14.155221,0.001219,0.00173,0.141516,0.004364,0.112837,0.170992,11.448511,0.001079,0.00168,0.114416,0.003902,0.110296,0.173615,13.7208,0.001063,0.001717,0.138899,0.004169
6,0.00975,0.109267,0.166433,12.871691,0.001044,0.001615,0.128683,0.003946,0.110868,0.213453,11.551833,0.001059,0.002111,0.11529,0.004323,0.102927,0.16295,12.595345,0.000986,0.001594,0.127904,0.003859
7,0.0097,0.103967,0.168388,12.406634,0.000991,0.001628,0.12403,0.00386,0.099224,0.147656,10.432645,0.000943,0.001441,0.104144,0.003426,0.093091,0.15133,11.439171,0.000888,0.001494,0.115612,0.003538
8,0.00965,0.091649,0.147086,11.192651,0.000868,0.001422,0.111889,0.003409,0.091957,0.141281,10.377312,0.000871,0.001378,0.103614,0.003285,0.085994,0.143266,12.117271,0.000816,0.001414,0.122643,0.003457
9,0.0096,0.085009,0.139496,10.567501,0.000802,0.001348,0.105638,0.003206,0.083539,0.132495,9.44648,0.000787,0.001289,0.094351,0.003019,0.078551,0.135766,10.537466,0.000744,0.001347,0.105863,0.00315
10,0.00955,0.078933,0.131773,9.726569,0.000742,0.00127,0.097231,0.002984,0.08597,0.13286,9.261668,0.000811,0.001292,0.092487,0.003027,0.078853,0.134893,10.422197,0.000745,0.001342,0.105145,0.003138
11,0.0095,0.076225,0.130858,9.849879,0.000715,0.001261,0.098465,0.002961,0.075042,0.125411,8.976184,0.000703,0.001215,0.089673,0.002814,0.068825,0.131138,10.091399,0.000645,0.001304,0.101089,0.00296
12,0.00945,0.073631,0.125584,9.633422,0.000689,0.00121,0.096301,0.002861,0.07858,0.129932,9.794618,0.000737,0.001259,0.097793,0.002974,0.073405,0.13596,11.271222,0.000693,0.001348,0.113614,0.003178
13,0.0094,0.069668,0.120708,9.323763,0.000649,0.00116,0.093205,0.002741,0.074554,0.120223,8.767893,0.000697,0.001163,0.087543,0.002735,0.066107,0.126419,9.775591,0.000616,0.001257,0.098325,0.002856
14,0.00935,0.066166,0.117986,8.881236,0.000614,0.001134,0.088778,0.002636,0.083083,0.317586,10.086328,0.000781,0.00318,0.100599,0.004968,0.067824,0.131319,10.470934,0.000637,0.0013,0.106132,0.002998
15,0.0093,0.071047,0.124188,9.394637,0.000663,0.001195,0.09391,0.002797,0.077414,0.169396,8.951014,0.000726,0.001667,0.089359,0.003286,0.065619,0.124138,10.622905,0.000616,0.001234,0.107467,0.002924
16,0.00925,0.063116,0.114305,8.525733,0.000584,0.001096,0.085222,0.002533,0.068491,0.113575,7.989316,0.000637,0.001097,0.079828,0.002533,0.060939,0.120831,9.222341,0.000565,0.001187,0.093354,0.002686
17,0.0092,0.060824,0.110534,8.479677,0.000561,0.001059,0.084764,0.002468,0.064399,0.115488,9.03161,0.000597,0.001116,0.090225,0.002615,0.056015,0.120853,9.911041,0.000519,0.001193,0.100065,0.002712
18,0.00915,0.05919,0.108285,8.227061,0.000545,0.001038,0.082238,0.002406,0.06319,0.108334,7.714372,0.000584,0.001048,0.077071,0.002403,0.056419,0.112517,9.670673,0.000523,0.001112,0.098016,0.002615
19,0.0091,0.058284,0.105842,8.168092,0.000536,0.001013,0.08165,0.002365,0.06733,0.110969,7.999266,0.000625,0.001072,0.079863,0.002496,0.060689,0.115251,9.830191,0.000564,0.001136,0.099655,0.002697
20,0.00905,0.055894,0.10389,7.870924,0.000512,0.000993,0.078675,0.002292,0.060387,0.109196,7.990953,0.000557,0.001055,0.079781,0.00241,0.050555,0.108561,8.822253,0.000461,0.001068,0.088447,0.002414
