epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
27,0.008700,0.054556,0.101426,7.629888,0.000499,0.000969,0.076267,0.002231,0.062616,0.107494,8.215060,0.000578,0.001034,0.082047,0.002433,0.054579,0.114074,9.505978,0.000501,0.001110,0.095945,0.002571
28,0.008650,0.054271,0.102113,7.793400,0.000496,0.000977,0.077902,0.002252,0.059897,0.107702,7.778208,0.000551,0.001042,0.077655,0.002370,0.050860,0.109995,8.662370,0.000467,0.001076,0.087533,0.002419
29,0.008600,0.053159,0.100585,7.640331,0.000485,0.000960,0.076371,0.002209,0.058448,0.100404,7.618652,0.000537,0.000966,0.076065,0.002264,0.050474,0.103818,8.520024,0.000461,0.001015,0.086049,0.002336
30,0.008550,0.052277,0.098977,7.545303,0.000476,0.000946,0.075419,0.002176,0.056741,0.104857,8.079247,0.000520,0.001015,0.080687,0.002341,0.047713,0.106533,9.105478,0.000434,0.001038,0.091622,0.002388
31,0.008500,0.051621,0.097954,7.391856,0.000470,0.000934,0.073886,0.002143,0.059535,0.097613,7.605958,0.000548,0.000939,0.075969,0.002246,0.049407,0.105148,8.384826,0.000449,0.001023,0.084180,0.002314
32,0.008450,0.050181,0.096987,7.461742,0.000456,0.000924,0.074585,0.002126,0.056055,0.108106,7.947980,0.000513,0.001046,0.079352,0.002352,0.047755,0.111688,8.930370,0.000435,0.001096,0.091896,0.002450
33,0.008400,0.049748,0.096079,7.319434,0.000451,0.000915,0.073164,0.002098,0.056344,0.101451,8.014720,0.000516,0.000977,0.080015,0.002293,0.048585,0.107627,8.897103,0.000441,0.001043,0.089222,0.002376
34,0.008350,0.048816,0.095450,7.262072,0.000442,0.000910,0.072587,0.002078,0.055981,0.095515,7.541314,0.000513,0.000918,0.075290,0.002184,0.048103,0.100696,8.651913,0.000439,0.000980,0.087785,0.002298
35,0.008300,0.048565,0.095076,7.297513,0.000440,0.000905,0.072944,0.002074,0.055375,0.096654,7.571338,0.000507,0.000929,0.075588,0.002192,0.045836,0.099445,8.140781,0.000415,0.000960,0.081680,0.002192
36,0.008250,0.048253,0.093617,7.234935,0.000436,0.000892,0.072316,0.002051,0.053451,0.099303,7.126137,0.000488,0.000957,0.071151,0.002156,0.045103,0.102450,7.905050,0.000408,0.001010,0.080677,0.002224
37,0.008200,0.047182,0.093029,7.132340,0.000426,0.000885,0.071291,0.002024,0.054234,0.093024,7.313985,0.000495,0.000893,0.073065,0.002119,0.045735,0.099377,8.173274,0.000414,0.000970,0.082673,0.002211
38,0.008150,0.046571,0.092044,6.989153,0.000420,0.000875,0.069857,0.001993,0.052951,0.098758,7.096218,0.000482,0.000952,0.070884,0.002143,0.044536,0.100178,7.899169,0.000404,0.000984,0.079502,0.002183
39,0.008100,0.045755,0.089922,6.853769,0.000412,0.000854,0.068504,0.001950,0.053943,0.098107,7.137570,0.000492,0.000944,0.071259,0.002148,0.044849,0.098059,8.086909,0.000405,0.000949,0.081275,0.002166
40,0.008050,0.045056,0.090302,6.904927,0.000405,0.000858,0.069018,0.001953,0.053748,0.101445,7.267180,0.000490,0.000978,0.072529,0.002193,0.045351,0.096810,7.997045,0.000408,0.000937,0.080329,0.002149
41,0.008000,0.047909,0.095028,7.111329,0.000433,0.000907,0.071080,0.002051,0.053101,0.098821,7.958827,0.000484,0.000951,0.079491,0.002230,0.044303,0.097497,8.543386,0.000400,0.000952,0.085862,0.002210
42,0.007950,0.045276,0.090166,6.879191,0.000407,0.000857,0.068759,0.001952,0.054477,0.096997,7.199535,0.000497,0.000933,0.071886,0.002150,0.045795,0.099459,7.877054,0.000415,0.000977,0.080142,0.002194
43,0.007900,0.043494,0.088048,6.731071,0.000390,0.000836,0.067279,0.001899,0.054774,0.090279,6.967741,0.000499,0.000865,0.069537,0.002060,0.047371,0.095418,7.770033,0.000429,0.000930,0.078196,0.002141
44,0.007850,0.043418,0.086689,6.680285,0.000389,0.000822,0.066769,0.001878,0.049678,0.093658,6.902942,0.000450,0.000899,0.068929,0.002039,0.041396,0.096397,8.043322,0.000372,0.000940,0.081788,0.002130
45,0.007800,0.042328,0.085727,6.565941,0.000378,0.000813,0.065626,0.001847,0.052894,0.086305,6.758176,0.000481,0.000824,0.067495,0.001980,0.044248,0.094109,7.783424,0.000397,0.000911,0.078113,0.002088
46,0.007750,0.042361,0.085298,6.557603,0.000378,0.000809,0.065545,0.001842,0.050104,0.096997,7.238663,0.000454,0.000937,0.072231,0.002114,0.040735,0.097464,8.082196,0.000364,0.000948,0.081769,0.002130
