Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
28,0.004000,0.405433,0.687983,2.150338,0.942260,194.278899,131.239907,0.045576,0.055522,0.095405,0.092659,7.056799,6.937847,0.000410,0.000509,0.000902,0.000876,0.070538,0.069453,0.002018,0.002079
29,0.004000,0.399338,0.688949,2.152358,4.639881,176.674926,133.841461,0.044510,0.053900,0.094250,0.098245,6.933833,6.860744,0.000400,0.000494,0.000891,0.000916,0.069298,0.068687,0.001983,0.002096
30,0.004000,0.406448,0.693888,2.113331,3.396694,172.270195,156.228200,0.044928,0.054425,0.093724,0.099590,6.930236,7.164748,0.000404,0.000499,0.000886,0.000930,0.069265,0.071718,0.001982,0.002146
31,0.004000,0.402239,0.688466,2.055870,3.804776,163.858419,127.867392,0.043761,0.053845,0.092545,0.098611,6.718329,6.811629,0.000392,0.000493,0.000874,0.000919,0.067142,0.068190,0.001938,0.002094
32,0.004000,0.408899,0.685724,2.250130,2.858624,224.449516,133.482461,0.044033,0.052592,0.093232,0.096330,7.012813,6.705762,0.000395,0.000480,0.000881,0.000904,0.070097,0.067142,0.001977,0.002056
33,0.004000,0.401925,0.683219,2.051227,1.202135,185.738597,131.787197,0.043064,0.052010,0.091273,0.094190,6.814649,6.731511,0.000385,0.000475,0.000862,0.000894,0.068110,0.067398,0.001928,0.002042
34,0.004000,0.401776,0.691639,1.896961,4.861646,197.205726,135.628928,0.042666,0.054530,0.089339,0.098120,6.727107,6.662099,0.000381,0.000500,0.000842,0.000914,0.067236,0.066700,0.001896,0.002081
35,0.004000,0.401163,0.685169,2.012469,2.720511,201.025292,138.747936,0.042571,0.051662,0.089804,0.092527,6.773781,6.780199,0.000381,0.000471,0.000845,0.000868,0.067704,0.067877,0.001902,0.002018
36,0.004000,0.401619,0.684866,2.225648,0.635744,177.139615,132.403255,0.042187,0.050303,0.090002,0.088412,6.687356,6.678350,0.000377,0.000458,0.000850,0.000838,0.066833,0.066861,0.001895,0.001965
37,0.004000,0.400032,0.686061,2.094675,0.677572,169.777633,141.508170,0.041588,0.050645,0.088990,0.090211,6.605183,6.906127,0.000371,0.000462,0.000839,0.000856,0.066015,0.069139,0.001870,0.002009
38,0.004000,0.400479,0.683169,2.045187,0.640250,177.836763,144.267420,0.041099,0.050309,0.087744,0.087225,6.516788,6.754716,0.000366,0.000458,0.000827,0.000829,0.065131,0.067626,0.001845,0.001963
39,0.004000,0.401038,0.684276,2.102153,0.904609,168.816189,151.804686,0.041017,0.048165,0.087710,0.088532,6.496765,6.809966,0.000365,0.000437,0.000827,0.000838,0.064929,0.068179,0.001841,0.001957
40,0.004000,0.399273,0.683053,1.925282,1.254776,171.824681,132.128590,0.040631,0.049888,0.086060,0.089927,6.473517,6.694162,0.000361,0.000454,0.000810,0.000853,0.064700,0.067023,0.001818,0.001977
41,0.004000,0.399815,0.687755,2.043037,4.015488,181.795896,146.127573,0.040358,0.051166,0.086521,0.095582,6.421493,6.759687,0.000359,0.000466,0.000814,0.000894,0.064184,0.067680,0.001815,0.002036
42,0.004000,0.400543,0.685178,1.980442,1.583568,190.602906,137.078783,0.040432,0.051277,0.086517,0.088377,6.528474,6.700922,0.000359,0.000468,0.000814,0.000836,0.065244,0.067088,0.001826,0.001975
43,0.004000,0.399728,0.687350,1.864968,3.439668,164.998974,153.279804,0.039806,0.049460,0.085579,0.092404,6.376584,6.751602,0.000353,0.000449,0.000804,0.000867,0.063725,0.067588,0.001795,0.001992
44,0.004000,0.399318,0.684984,2.165651,1.711211,170.189213,147.701988,0.039753,0.048284,0.085750,0.089375,6.374705,6.922176,0.000353,0.000438,0.000807,0.000840,0.063708,0.069298,0.001797,0.001971
45,0.004000,0.398716,0.683134,1.930956,0.964351,166.565318,146.992299,0.039209,0.049349,0.084003,0.089895,6.284113,6.919802,0.000347,0.000449,0.000790,0.000851,0.062807,0.069275,0.001765,0.001993
46,0.004000,0.399852,0.684270,1.949970,2.398150,186.551341,148.921289,0.039338,0.048587,0.084669,0.088462,6.421196,6.702966,0.000349,0.000441,0.000795,0.000827,0.064175,0.067109,0.001785,0.001939
47,0.004000,0.398128,0.684530,1.869881,2.338284,153.734509,137.127448,0.038472,0.046048,0.082703,0.090320,6.132784,6.634405,0.000340,0.000416,0.000777,0.000849,0.061292,0.066426,0.001730,0.001929
48,0.004000,0.397401,0.687264,2.109557,1.240134,166.674554,155.509374,0.038438,0.047993,0.084102,0.084535,6.232314,6.803514,0.000340,0.000435,0.000792,0.000798,0.062297,0.068114,0.001755,0.001914
49,0.004000,0.399611,0.681761,1.924211,1.025266,166.361973,142.260708,0.038737,0.046656,0.083546,0.085244,6.270340,6.576068,0.000343,0.000422,0.000785,0.000808,0.062663,0.065837,0.001754,0.001889
50,0.004000,0.397316,0.684706,1.854995,2.320708,174.230007,151.743968,0.037944,0.048144,0.081559,0.088359,6.189718,6.798839,0.000335,0.000437,0.000766,0.000827,0.061858,0.068069,0.001719,0.001945
