epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.306390,0.246903,21.640552,0.003014,0.002411,0.216367,0.007589,0.199864,0.210710,18.592367,0.001946,0.002082,0.185381,0.005882,0.204767,0.223193,20.607471,0.002013,0.002204,0.207642,0.006294
2,0.009950,0.188558,0.221650,20.299188,0.001837,0.002161,0.202955,0.006028,0.170627,0.202343,19.064455,0.001655,0.001997,0.190079,0.005553,0.170530,0.215095,21.259212,0.001676,0.002121,0.217362,0.005970
3,0.009900,0.161586,0.213271,18.025868,0.001567,0.002079,0.180225,0.005448,0.150000,0.194543,14.173163,0.001450,0.001916,0.141535,0.004782,0.149982,0.203826,16.504553,0.001460,0.001997,0.164975,0.005107
4,0.009850,0.140353,0.204641,15.756404,0.001355,0.002001,0.157525,0.004931,0.123928,0.191712,13.342496,0.001190,0.001887,0.133234,0.004410,0.123269,0.198695,15.959862,0.001202,0.001967,0.161184,0.004781
5,0.009800,0.119904,0.180266,13.922456,0.001151,0.001752,0.139186,0.004295,0.110485,0.195309,11.965689,0.001055,0.001927,0.119483,0.004177,0.106708,0.174768,13.720078,0.001033,0.001733,0.139443,0.004160
6,0.009750,0.111064,0.172017,13.474843,0.001062,0.001667,0.134710,0.004076,0.106749,0.163628,10.920706,0.001019,0.001606,0.109116,0.003716,0.102537,0.167608,13.097311,0.000986,0.001660,0.131950,0.003966
7,0.009700,0.099012,0.157213,12.039049,0.000942,0.001523,0.120355,0.003668,0.095856,0.156089,10.468419,0.000910,0.001526,0.104548,0.003482,0.092117,0.153918,13.153373,0.000877,0.001523,0.134503,0.003745
8,0.009650,0.089895,0.146871,10.953097,0.000851,0.001420,0.109499,0.003366,0.090030,0.145274,10.162465,0.000852,0.001419,0.101427,0.003285,0.083841,0.145637,11.208473,0.000797,0.001441,0.112994,0.003368
9,0.009600,0.083393,0.140480,10.371877,0.000786,0.001357,0.103681,0.003180,0.086788,0.138218,9.751773,0.000819,0.001346,0.097342,0.003138,0.081863,0.139822,11.957058,0.000777,0.001363,0.122801,0.003368
10,0.009550,0.079098,0.134555,10.032198,0.000743,0.001298,0.100289,0.003044,0.088983,0.178964,9.800146,0.000841,0.001763,0.097839,0.003582,0.080266,0.139642,11.207709,0.000758,0.001378,0.112957,0.003266
11,0.009500,0.075772,0.129064,9.863163,0.000710,0.001244,0.098596,0.002940,0.083851,0.174152,9.334450,0.000789,0.001716,0.093113,0.003436,0.073903,0.125705,10.684380,0.000694,0.001214,0.106887,0.002977
12,0.009450,0.070873,0.123357,9.156391,0.000661,0.001185,0.091533,0.002761,0.074974,0.128498,9.354872,0.000701,0.001251,0.093314,0.002885,0.065926,0.126813,11.009470,0.000619,0.001254,0.112837,0.003001
13,0.009400,0.068025,0.118940,9.119247,0.000633,0.001143,0.091159,0.002687,0.080917,0.302791,9.376176,0.000760,0.003029,0.093576,0.004724,0.065268,0.121656,11.320681,0.000611,0.001181,0.114076,0.002932
14,0.009350,0.066858,0.120280,9.328542,0.000621,0.001154,0.093253,0.002708,0.070053,0.120141,8.692296,0.000652,0.001165,0.086768,0.002685,0.062233,0.121889,11.015878,0.000582,0.001199,0.113531,0.002916
15,0.009300,0.063047,0.113272,8.629763,0.000583,0.001086,0.086265,0.002532,0.068460,0.126819,8.700146,0.000636,0.001234,0.086787,0.002738,0.060733,0.121318,10.580533,0.000563,0.001190,0.106140,0.002815
16,0.009250,0.061060,0.111595,8.437818,0.000564,0.001070,0.084344,0.002477,0.068779,0.123946,8.468607,0.000640,0.001205,0.084530,0.002690,0.060641,0.110969,9.928170,0.000563,0.001066,0.099697,0.002627
17,0.009200,0.060942,0.110659,8.638656,0.000562,0.001060,0.086353,0.002486,0.068054,0.109611,8.055575,0.000633,0.001057,0.080462,0.002494,0.060771,0.115458,10.774140,0.000563,0.001123,0.108693,0.002773
18,0.009150,0.057888,0.106488,8.233147,0.000532,0.001019,0.082300,0.002375,0.072741,0.374212,9.403009,0.000679,0.003763,0.093762,0.005379,0.059723,0.115060,11.019827,0.000553,0.001131,0.110505,0.002789
19,0.009100,0.055842,0.105456,8.032002,0.000512,0.001008,0.080286,0.002323,0.063163,0.100656,8.467441,0.000584,0.000969,0.084480,0.002398,0.053538,0.104080,9.716008,0.000491,0.001008,0.097946,0.002478
20,0.009050,0.054281,0.102620,7.949606,0.000496,0.000980,0.079461,0.002271,0.061594,0.121490,7.951494,0.000568,0.001183,0.079411,0.002545,0.053636,0.108334,10.283705,0.000491,0.001050,0.103089,0.002572
21,0.009000,0.055246,0.104935,7.969374,0.000506,0.001003,0.079657,0.002305,0.058601,0.102830,8.178194,0.000538,0.000993,0.081636,0.002347,0.049565,0.102674,10.604531,0.000450,0.000988,0.105845,0.002497
22,0.008950,0.052324,0.098680,7.643384,0.000477,0.000942,0.076401,0.002183,0.059465,0.114068,8.650974,0.000547,0.001110,0.086275,0.002520,0.049435,0.113276,10.990954,0.000454,0.001108,0.111455,0.002676
23,0.008900,0.050472,0.096821,7.404687,0.000459,0.000922,0.074014,0.002121,0.057813,0.106414,7.898942,0.000530,0.001028,0.078879,0.002347,0.049740,0.106870,10.223501,0.000456,0.001051,0.104399,0.002551
24,0.008850,0.049989,0.095185,7.429404,0.000454,0.000907,0.074261,0.002103,0.055453,0.102578,7.252143,0.000508,0.000992,0.072383,0.002223,0.049399,0.100736,11.426208,0.000453,0.000990,0.114550,0.002588
25,0.008800,0.049394,0.095238,7.355789,0.000448,0.000907,0.073525,0.002090,0.054171,0.098801,7.497013,0.000495,0.000952,0.074836,0.002196,0.047076,0.099945,10.234035,0.000429,0.000977,0.104102,0.002447
26,0.008750,0.047246,0.092394,7.158890,0.000427,0.000879,0.071559,0.002022,0.055292,0.101322,7.318055,0.000505,0.000974,0.073042,0.002210,0.049410,0.103218,10.585721,0.000453,0.001019,0.106633,0.002539
27,0.008700,0.048093,0.093479,7.130253,0.000435,0.000890,0.071268,0.002038,0.056798,0.095505,7.241931,0.000521,0.000920,0.072318,0.002164,0.048890,0.095245,9.012107,0.000446,0.000916,0.091000,0.002271
28,0.008650,0.047031,0.091882,7.216824,0.000424,0.000874,0.072134,0.002020,0.052947,0.097192,7.261857,0.000483,0.000935,0.072482,0.002143,0.044792,0.096532,9.170887,0.000403,0.000930,0.091923,0.002253
29,0.008600,0.047307,0.090895,7.040253,0.000427,0.000863,0.070369,0.001994,0.051706,0.099366,7.216259,0.000470,0.000957,0.072039,0.002147,0.044729,0.100247,9.424797,0.000403,0.000973,0.094407,0.002321
30,0.008550,0.045822,0.088989,6.927890,0.000412,0.000845,0.069244,0.001950,0.052920,0.098280,7.378206,0.000482,0.000947,0.073656,0.002166,0.043956,0.095558,10.159987,0.000396,0.000921,0.102343,0.002340
31,0.008500,0.047040,0.091351,7.245139,0.000425,0.000868,0.072419,0.002016,0.051441,0.089883,6.820078,0.000468,0.000859,0.068106,0.002008,0.043896,0.095405,8.565187,0.000395,0.000922,0.085826,0.002174
32,0.008450,0.044225,0.087098,6.731853,0.000397,0.000826,0.067289,0.001896,0.053934,0.096351,8.059516,0.000492,0.000926,0.080431,0.002222,0.043926,0.101011,9.982153,0.000395,0.000977,0.100580,0.002378
33,0.008400,0.043026,0.085910,6.678967,0.000385,0.000815,0.066759,0.001867,0.050241,0.096990,6.675144,0.000456,0.000934,0.066634,0.002056,0.044270,0.095504,8.724925,0.000400,0.000934,0.087675,0.002211
34,0.008350,0.042466,0.084822,6.594759,0.000379,0.000804,0.065916,0.001842,0.050316,0.097390,7.302114,0.000457,0.000940,0.072883,0.002126,0.043022,0.098655,9.241180,0.000387,0.000968,0.092796,0.002283
35,0.008300,0.042338,0.085174,6.596919,0.000378,0.000807,0.065935,0.001844,0.050738,0.085546,6.928096,0.000461,0.000818,0.069187,0.001971,0.043095,0.089827,9.690402,0.000389,0.000860,0.097721,0.002226
36,0.008250,0.041593,0.083249,6.518202,0.000371,0.000788,0.065149,0.001810,0.048188,0.088647,7.013449,0.000436,0.000849,0.070031,0.001984,0.042107,0.092371,9.323370,0.000378,0.000905,0.093532,0.002219
37,0.008200,0.041859,0.083874,6.609895,0.000373,0.000794,0.066068,0.001828,0.049066,0.091553,7.258065,0.000444,0.000878,0.072438,0.002047,0.042850,0.091203,9.742593,0.000384,0.000882,0.097952,0.002246
38,0.008150,0.041739,0.082956,6.596808,0.000372,0.000785,0.065934,0.001817,0.048150,0.081574,6.691435,0.000436,0.000777,0.066862,0.001881,0.041622,0.087395,9.805030,0.000374,0.000851,0.098410,0.002209
39,0.008100,0.040776,0.081736,6.391460,0.000363,0.000774,0.063884,0.001775,0.049036,0.088226,6.710846,0.000444,0.000845,0.066988,0.001959,0.042089,0.087960,8.352857,0.000376,0.000843,0.084051,0.002060
40,0.008050,0.039587,0.080430,6.279474,0.000351,0.000760,0.062761,0.001739,0.049686,0.087125,7.131639,0.000450,0.000832,0.071183,0.001994,0.042395,0.090164,9.419150,0.000379,0.000865,0.094124,0.002185
41,0.008000,0.039186,0.079336,6.257583,0.000347,0.000749,0.062543,0.001722,0.048411,0.092863,6.771911,0.000437,0.000892,0.067632,0.002005,0.039817,0.089690,8.538058,0.000354,0.000856,0.086320,0.002073
42,0.007950,0.038886,0.079276,6.254292,0.000344,0.000748,0.062510,0.001717,0.047755,0.086995,6.873653,0.000432,0.000833,0.068624,0.001951,0.039696,0.088183,8.515477,0.000353,0.000854,0.085877,0.002066
43,0.007900,0.038719,0.078414,6.236976,0.000342,0.000740,0.062337,0.001706,0.045836,0.092616,6.719653,0.000413,0.000890,0.067088,0.001974,0.037590,0.092213,8.385670,0.000333,0.000892,0.084115,0.002066
44,0.007850,0.038806,0.079307,6.138640,0.000343,0.000750,0.061353,0.001706,0.048006,0.085258,7.096982,0.000434,0.000812,0.070862,0.001955,0.039604,0.090325,9.306368,0.000351,0.000866,0.093277,0.002150
45,0.007800,0.038123,0.077819,6.135735,0.000337,0.000734,0.061327,0.001684,0.046604,0.082347,6.871098,0.000420,0.000784,0.068570,0.001889,0.039610,0.087234,8.688985,0.000352,0.000836,0.087520,0.002063
46,0.007750,0.037469,0.076883,6.036239,0.000330,0.000725,0.060330,0.001659,0.046007,0.088962,6.428630,0.000414,0.000850,0.064185,0.001906,0.038987,0.091311,8.663700,0.000348,0.000888,0.087573,0.002112
47,0.007700,0.037690,0.077043,6.046016,0.000332,0.000726,0.060428,0.001663,0.045918,0.085941,6.972520,0.000414,0.000822,0.069567,0.001932,0.037468,0.088330,8.671884,0.000332,0.000846,0.086776,0.002046
48,0.007650,0.037570,0.077046,6.175981,0.000331,0.000726,0.061726,0.001675,0.045346,0.081639,6.742329,0.000408,0.000778,0.067318,0.001859,0.036545,0.083064,8.653989,0.000324,0.000791,0.087707,0.001992
49,0.007600,0.036802,0.075864,6.034676,0.000324,0.000715,0.060314,0.001642,0.046314,0.087744,6.817245,0.000417,0.000839,0.068043,0.001936,0.039988,0.089202,9.223177,0.000358,0.000863,0.092988,0.002151
50,0.007550,0.036558,0.075742,5.921136,0.000321,0.000713,0.059178,0.001626,0.046238,0.081497,7.073086,0.000417,0.000776,0.070636,0.001899,0.038078,0.086651,8.688270,0.000338,0.000841,0.087569,0.002054
51,0.007500,0.036272,0.074233,5.853227,0.000318,0.000698,0.058501,0.001602,0.044313,0.080290,6.483313,0.000398,0.000765,0.064723,0.001809,0.037099,0.084205,8.553215,0.000327,0.000801,0.086023,0.001988
52,0.007450,0.036336,0.074968,5.934089,0.000319,0.000705,0.059308,0.001617,0.044774,0.080512,6.715406,0.000402,0.000766,0.067058,0.001838,0.038847,0.086714,8.381171,0.000345,0.000833,0.084227,0.002021
53,0.007400,0.035939,0.074012,5.746168,0.000315,0.000696,0.057429,0.001585,0.046100,0.083299,6.703218,0.000414,0.000796,0.066890,0.001879,0.036544,0.084499,8.981886,0.000323,0.000801,0.089678,0.002020
54,0.007350,0.035565,0.073772,5.826331,0.000311,0.000694,0.058231,0.001587,0.045247,0.090465,7.448912,0.000407,0.000868,0.074330,0.002019,0.035740,0.090387,8.655185,0.000314,0.000872,0.086855,0.002055
