stct_id,atom_id,atomic_numbers,atomic_energy,pos_x,pos_y,pos_z,force_of_atoms_x,force_of_atoms_y,force_of_atoms_z,inferred_force_x,inferred_force_y,inferred_force_z
0,0,14,-7.768805,5.2749166,6.2639756,2.5185938,0.0,0.0,0.0,-0.013988933,0.07130251,-0.11873524
0,1,14,-7.8192477,8.618484,1.970951,8.847929,0.0,0.0,0.0,0.19298078,0.17368859,-0.31778598
0,2,14,-7.7500334,4.4237022,8.2878895,4.1572156,0.0,0.0,0.0,0.037351057,-0.1531626,-0.116503164
0,3,14,-7.6294928,3.8359332,0.4301587,6.963499,0.0,0.0,0.0,0.16772994,0.3368945,0.034752794
0,4,14,-7.820602,6.152906,2.5096369,1.9378129,0.0,0.0,0.0,-0.053214584,0.11822129,-0.17539391
0,5,14,-7.792221,2.653682,4.1887913,10.696917,0.0,0.0,0.0,-0.040914908,-0.04839459,-0.30553037
0,6,14,-7.7380195,-1.1621107,6.198827,3.0737746,0.0,0.0,0.0,0.19412468,0.03174432,0.13587622
0,7,14,-7.8320093,3.7481215,6.814092,0.23189548,0.0,0.0,0.0,-0.06111925,-0.3050886,0.03409814
0,8,14,-7.772876,4.655851,3.7977428,8.352777,0.0,0.0,0.0,-0.12626296,0.20122786,-0.04563825
0,9,14,-7.7606115,5.522659,2.3475373,6.055941,0.0,0.0,0.0,-0.253545,-0.046220377,-0.06543115
0,10,14,-7.750791,6.5641885,5.153986,4.882212,0.0,0.0,0.0,-0.3138899,0.07571897,0.17848063
0,11,14,-7.7168994,6.146981,6.3086076,9.10274,0.0,0.0,0.0,-0.427899,0.03719825,0.3949541
0,12,14,-7.7818227,7.0315,0.38136134,10.765391,0.0,0.0,0.0,0.13948053,0.29058063,-0.14416836
0,13,14,-7.7273483,1.0064195,4.7506223,3.853005,0.0,0.0,0.0,0.1474539,-0.07903056,-0.0955341
0,14,14,-7.735638,2.961058,2.9941409,2.5678515,0.0,0.0,0.0,0.3802843,-0.41230568,0.015720066
0,15,14,-7.748291,-2.5167778,4.5634284,0.48869264,0.0,0.0,0.0,0.36068544,0.44707215,-0.027896877
0,16,14,-7.735757,0.7892155,7.2034407,8.597232,0.0,0.0,0.0,0.107287094,-0.16223846,-0.19198218
0,17,14,-7.7547336,1.3218231,1.8794023,7.584437,0.0,0.0,0.0,0.2765044,-0.44371814,-0.045529075
0,18,14,-7.7293134,-2.8846056,8.53465,2.8942032,0.0,0.0,0.0,-0.03730324,-0.19105808,0.03571721
0,19,14,-7.732831,-3.3980742,7.6693945,6.6920686,0.0,0.0,0.0,0.09635945,0.004483562,-0.03954469
0,20,14,-7.78308,-1.0005786,2.3817265,3.4775484,0.0,0.0,0.0,-0.19580905,0.15065019,0.061908953
0,21,14,-7.8276844,8.025881,1.1865435,5.982382,0.0,0.0,0.0,0.040318653,-0.082128406,0.04193866
0,22,14,-7.7176666,-0.20795682,4.548983,9.463989,0.0,0.0,0.0,0.09577225,-0.36210918,0.36106494
0,23,14,-7.7767425,2.029494,4.780878,6.8006344,0.0,0.0,0.0,-0.10148094,-0.23660293,-0.09899445
0,24,14,-7.768805,15.191552,6.2639756,2.5185938,0.0,0.0,0.0,-0.013986073,0.07130322,-0.11873619
0,25,14,-7.8192477,18.53512,1.970951,8.847929,0.0,0.0,0.0,0.19298021,0.17368859,-0.31778532
0,26,14,-7.7500334,14.340339,8.2878895,4.1572156,0.0,0.0,0.0,0.037351277,-0.1531621,-0.11650265
0,27,14,-7.6294928,13.752569,0.4301587,6.963499,0.0,0.0,0.0,0.1677311,0.33689475,0.034752622
0,28,14,-7.820602,16.069542,2.5096369,1.9378129,0.0,0.0,0.0,-0.053214233,0.118221514,-0.17539354
0,29,14,-7.7922215,12.570318,4.1887913,10.696917,0.0,0.0,0.0,-0.04091589,-0.04839459,-0.30553088
0,30,14,-7.7380195,8.754525,6.198827,3.0737746,0.0,0.0,0.0,0.1941258,0.031743914,0.1358761
0,31,14,-7.8320093,13.664758,6.814092,0.23189548,0.0,0.0,0.0,-0.06111998,-0.30508864,0.034097873
0,32,14,-7.772876,14.572487,3.7977428,8.352777,0.0,0.0,0.0,-0.12626256,0.20122848,-0.045637943
0,33,14,-7.7606115,15.439295,2.3475373,6.055941,0.0,0.0,0.0,-0.25354457,-0.04621986,-0.065431155
0,34,14,-7.750791,16.480824,5.153986,4.882212,0.0,0.0,0.0,-0.31388694,0.075719535,0.17847994
0,35,14,-7.7169,16.063616,6.3086076,9.10274,0.0,0.0,0.0,-0.42789543,0.037197914,0.39495492
0,36,14,-7.7818227,16.948135,0.38136134,10.765391,0.0,0.0,0.0,0.13948213,0.29058057,-0.14416876
0,37,14,-7.727348,10.923056,4.7506223,3.853005,0.0,0.0,0.0,0.14745314,-0.079030186,-0.095534794
0,38,14,-7.7356386,12.877694,2.9941409,2.5678515,0.0,0.0,0.0,0.38028347,-0.4123053,0.01572071
0,39,14,-7.748291,7.3998585,4.5634284,0.48869264,0.0,0.0,0.0,0.36068583,0.44707245,-0.02789725
0,40,14,-7.7357564,10.705852,7.2034407,8.597232,0.0,0.0,0.0,0.1072873,-0.16223806,-0.19198199
0,41,14,-7.7547336,11.23846,1.8794023,7.584437,0.0,0.0,0.0,0.27650374,-0.44371808,-0.04552847
0,42,14,-7.729314,7.0320306,8.53465,2.8942032,0.0,0.0,0.0,-0.037303746,-0.19105774,0.035717815
0,43,14,-7.732831,6.518562,7.6693945,6.6920686,0.0,0.0,0.0,0.09636061,0.004483577,-0.03954528
0,44,14,-7.78308,8.916058,2.3817265,3.4775484,0.0,0.0,0.0,-0.19580765,0.15064968,0.061909076
0,45,14,-7.8276844,17.942516,1.1865435,5.982382,0.0,0.0,0.0,0.040320083,-0.08212837,0.04193852
0,46,14,-7.7176666,9.708679,4.548983,9.463989,0.0,0.0,0.0,0.09577219,-0.3621087,0.36106497
0,47,14,-7.7767425,11.94613,4.780878,6.8006344,0.0,0.0,0.0,-0.10148094,-0.23660275,-0.098994814
0,48,8,-7.8089814,0.2911326,1.6756161,8.785043,0.0,0.0,0.0,0.016058004,-0.1393899,0.14492835
0,49,8,-7.826399,-0.10730792,3.724332,3.1303654,0.0,0.0,0.0,0.14064601,-0.1978308,0.21596333
0,50,8,-7.874348,4.806053,2.5484807,2.744062,0.0,0.0,0.0,-0.4257938,0.05027681,0.038785897
0,51,8,-7.827308,-2.782727,5.7311726,10.255147,0.0,0.0,0.0,-0.074640535,0.11612949,0.11243797
0,52,8,-7.90741,6.077896,1.1699513,0.8545465,0.0,0.0,0.0,-0.15062857,-0.011047021,0.058620404
0,53,8,-7.877067,6.036856,3.6432521,5.4648156,0.0,0.0,0.0,0.07000233,0.2962475,-0.071177095
0,54,8,-7.783524,4.5053706,5.699285,1.301991,0.0,0.0,0.0,-0.086654894,0.18355614,-0.14743221
0,55,8,-7.839648,1.498245,5.8214846,7.789248,0.0,0.0,0.0,0.16416575,0.42959732,-0.032042462
0,56,8,-7.8314185,5.9653473,6.2395597,6.1946898,0.0,0.0,0.0,0.12137601,-0.07023952,-0.30491537
0,57,8,-7.8431716,1.2698252,3.2384884,6.7769113,0.0,0.0,0.0,0.039287,0.049522243,0.071761236
0,58,8,-7.796831,-1.729268,7.767015,6.3180413,0.0,0.0,0.0,-0.2881763,-0.11945586,-0.046299364
0,59,8,-7.7920365,-1.868666,5.381922,1.8930838,0.0,0.0,0.0,0.06732654,0.13480999,-0.2656597
0,60,8,-7.8098183,1.369666,3.705009,9.72119,0.0,0.0,0.0,-0.17519256,0.22869128,0.15037477
0,61,8,-7.8304768,0.32249397,8.315431,7.645556,0.0,0.0,0.0,-0.32012886,0.08898949,-0.16331874
0,62,8,-7.8277144,6.2018642,3.8300166,0.8636582,0.0,0.0,0.0,0.08680863,-0.15572259,-0.049286015
0,63,8,-7.8226666,2.8779318,8.056793,0.8008911,0.0,0.0,0.0,0.33369595,-0.012016088,0.0701811
0,64,8,-7.81967,5.3583055,2.6127453,7.625881,0.0,0.0,0.0,0.0697841,-0.10246041,0.13648559
0,65,8,-7.8477616,4.661969,7.1015863,9.810507,0.0,0.0,0.0,0.082181886,-0.22944523,0.072393306
0,66,8,-7.85467,4.1178584,3.6672645,9.952278,0.0,0.0,0.0,-0.2191225,0.042639732,-0.27050388
0,67,8,-7.776181,-1.2682337,2.4225283,5.1129293,0.0,0.0,0.0,0.10665284,-0.12535337,-0.030068317
0,68,8,-7.857512,2.8406947,3.550484,1.169342,0.0,0.0,0.0,-0.15125687,-0.06971358,-0.1999992
0,69,8,-7.8021173,4.0531325,6.815355,3.410842,0.0,0.0,0.0,-0.046242036,0.24620824,0.0026820395
0,70,8,-7.795151,-1.957891,5.3486605,4.293782,0.0,0.0,0.0,0.38574302,0.1580272,0.31840268
0,71,8,-7.8090906,2.3912134,3.890949,3.6936865,0.0,0.0,0.0,0.38346606,-0.014053009,-0.14505187
0,72,8,-7.827366,1.5874403,5.1787286,5.267446,0.0,0.0,0.0,-0.16475141,0.14515954,0.33514553
0,73,8,-7.818538,-3.4314783,7.6174107,8.325868,0.0,0.0,0.0,0.13607234,-0.1430684,-0.19010083
0,74,8,-7.796869,5.8499823,5.130232,3.5078187,0.0,0.0,0.0,-0.24379203,0.19263431,-0.08697194
0,75,8,-7.8369904,8.07062,1.2363455,7.5645113,0.0,0.0,0.0,-0.01675276,0.033411592,-0.013598748
0,76,8,-7.7820163,2.4175172,5.8207974,10.830832,0.0,0.0,0.0,0.14654823,-0.13476187,-0.036990203
0,77,8,-7.8321652,3.4550304,4.2440557,7.200327,0.0,0.0,0.0,0.1250977,0.13194501,0.008114729
0,78,8,-7.835622,7.9171596,1.8065755,10.187568,0.0,0.0,0.0,-0.18680644,-0.30921265,-0.006095685
0,79,8,-7.8840556,-1.3639241,7.8690667,3.063288,0.0,0.0,0.0,-0.14137302,-0.0640214,0.038954094
0,80,8,-7.867707,3.6514244,8.332341,5.536345,0.0,0.0,0.0,0.011535063,0.093206614,-0.012639508
0,81,8,-7.9044886,0.64831,6.232131,3.200269,0.0,0.0,0.0,-0.26864177,-0.3047971,-0.1310677
0,82,8,-7.842421,7.522701,2.873238,2.7586734,0.0,0.0,0.0,-0.0913149,-0.28130996,0.029164843
0,83,8,-7.8232207,-0.22640176,6.1993675,9.272262,0.0,0.0,0.0,-0.15869394,0.008800682,0.18292163
0,84,8,-7.720692,-3.89581,8.204705,4.163239,0.0,0.0,0.0,0.17121518,0.087792255,0.029835846
0,85,8,-7.8109684,6.5103908,1.1385534,5.6301355,0.0,0.0,0.0,-0.09443796,0.08797899,-0.05682106
0,86,8,-7.8317885,2.85672,1.2875304,8.185699,0.0,0.0,0.0,0.0001739487,-0.029790096,-0.3290934
0,87,8,-7.848663,1.7136691,8.033623,9.514786,0.0,0.0,0.0,-0.023885682,0.044335704,0.23320124
0,88,8,-7.8321047,9.201508,0.8805852,3.0183077,0.0,0.0,0.0,-0.004512485,0.12696356,0.15280043
0,89,8,-7.7780714,-3.600666,7.47095,1.7554262,0.0,0.0,0.0,-0.19848213,0.16947235,0.18403736
0,90,8,-7.761994,1.086898,0.647325,6.367954,0.0,0.0,0.0,-0.13077116,-0.027869008,0.13058236
0,91,8,-7.816719,-1.0853758,3.973231,10.87459,0.0,0.0,0.0,0.1753041,0.098194435,-0.1256041
0,92,8,-7.8433533,4.003812,1.6312331,5.556085,0.0,0.0,0.0,0.27800453,-0.14473194,0.4557572
0,93,8,-7.7947817,5.684141,5.0497184,8.35162,0.0,0.0,0.0,0.0030869078,-0.0136348605,0.031150272
0,94,8,-7.8309035,-1.0254694,3.6769087,8.360514,0.0,0.0,0.0,-0.21003437,-0.010150634,0.12670618
0,95,8,-7.8924575,2.1280406,1.4854594,2.7233288,0.0,0.0,0.0,0.14693318,0.04875654,-0.12249635
0,96,8,-7.8089814,10.207768,1.6756161,8.785043,0.0,0.0,0.0,0.016059076,-0.13938981,0.14492808
