epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
27,0.008700,0.049285,0.094923,7.353257,0.000447,0.000905,0.073503,0.002087,0.057253,0.108762,8.523892,0.000525,0.001053,0.085098,0.002429,0.049961,0.111200,9.834135,0.000456,0.001091,0.100143,0.002549
28,0.008650,0.047766,0.092068,7.037314,0.000432,0.000875,0.070346,0.002011,0.056411,0.105489,7.267342,0.000517,0.001018,0.072537,0.002260,0.048507,0.103000,8.392568,0.000440,0.000994,0.084515,0.002279
29,0.008600,0.047667,0.092188,7.203964,0.000431,0.000877,0.072008,0.002027,0.054577,0.099323,7.494325,0.000498,0.000956,0.074785,0.002202,0.046174,0.096800,8.322666,0.000418,0.000930,0.084100,0.002189
30,0.008550,0.046028,0.090144,6.892224,0.000415,0.000856,0.068894,0.001959,0.055399,0.099232,7.086260,0.000506,0.000956,0.070739,0.002169,0.047883,0.095047,8.364397,0.000435,0.000909,0.084163,0.002186
31,0.008500,0.045887,0.089840,7.001789,0.000413,0.000853,0.069987,0.001966,0.052534,0.102721,7.224048,0.000478,0.000991,0.072150,0.002191,0.043832,0.101939,8.291616,0.000394,0.001003,0.084021,0.002238
32,0.008450,0.044971,0.088754,7.023757,0.000404,0.000843,0.070205,0.001950,0.055168,0.090465,7.270061,0.000505,0.000868,0.072550,0.002098,0.047875,0.095156,8.637490,0.000437,0.000923,0.087861,0.002238
33,0.008400,0.044383,0.087666,6.716812,0.000398,0.000832,0.067137,0.001902,0.052106,0.089173,7.109115,0.000474,0.000853,0.070980,0.002037,0.045598,0.095196,8.361794,0.000412,0.000923,0.083816,0.002172
34,0.008350,0.049338,0.094552,7.275081,0.000447,0.000903,0.072719,0.002077,0.055024,0.092000,7.412384,0.000503,0.000883,0.073968,0.002125,0.047848,0.096058,8.261674,0.000434,0.000928,0.083507,0.002197
35,0.008300,0.127557,1.328397,45.817393,0.001229,0.014986,0.458079,0.020796,0.139303,0.202288,16.171528,0.001343,0.002000,0.161263,0.004955,0.139007,0.209940,18.243156,0.001356,0.002084,0.187674,0.005317
36,0.008250,0.106214,0.180640,15.176144,0.001014,0.001755,0.151722,0.004286,0.119415,0.162556,12.721038,0.001144,0.001601,0.126794,0.004014,0.115666,0.168893,14.799548,0.001121,0.001674,0.152516,0.004321
37,0.008200,0.086950,0.156341,13.168874,0.000822,0.001514,0.131652,0.003652,0.090554,0.149806,12.014721,0.000856,0.001473,0.119732,0.003527,0.088138,0.154983,13.852768,0.000846,0.001535,0.142382,0.003805
38,0.008150,0.078867,0.145231,12.327538,0.000741,0.001404,0.123239,0.003377,0.083129,0.141212,11.528161,0.000782,0.001387,0.114865,0.003318,0.081080,0.146249,13.332149,0.000776,0.001448,0.136824,0.003592
39,0.008100,0.075213,0.136843,11.660001,0.000705,0.001320,0.116562,0.003191,0.072638,0.137425,11.275709,0.000678,0.001349,0.112326,0.003150,0.070280,0.140847,12.880148,0.000668,0.001395,0.131462,0.003377
40,0.008050,0.071360,0.130696,11.264547,0.000666,0.001260,0.112606,0.003052,0.070630,0.134135,10.370135,0.000657,0.001314,0.103321,0.003005,0.066743,0.137090,11.927073,0.000629,0.001351,0.120196,0.003182
41,0.008000,0.065650,0.116774,9.252346,0.000609,0.001122,0.092489,0.002657,0.066791,0.173622,8.515294,0.000619,0.001717,0.084970,0.003186,0.058538,0.120813,9.884612,0.000543,0.001187,0.100870,0.002739
42,0.007950,0.060371,0.107781,8.113877,0.000557,0.001033,0.081106,0.002400,0.062937,0.113880,8.038692,0.000581,0.001107,0.080243,0.002491,0.054484,0.112462,9.346240,0.000501,0.001097,0.095500,0.002553
43,0.007900,0.057798,0.102223,7.628592,0.000531,0.000978,0.076255,0.002272,0.061975,0.103786,7.561343,0.000572,0.001003,0.075467,0.002330,0.054285,0.109376,9.093213,0.000499,0.001063,0.092951,0.002492
44,0.007850,0.054427,0.098306,7.435007,0.000497,0.000939,0.074317,0.002180,0.058579,0.100849,7.378802,0.000538,0.000973,0.073642,0.002247,0.050736,0.105509,8.515155,0.000463,0.001030,0.086694,0.002359
45,0.007800,0.053805,0.095971,7.166396,0.000491,0.000915,0.071631,0.002123,0.056336,0.104412,7.422363,0.000516,0.001008,0.074124,0.002265,0.047630,0.107075,8.490563,0.000434,0.001049,0.086130,0.002344
46,0.007750,0.052722,0.093944,7.051131,0.000480,0.000896,0.070478,0.002081,0.056052,0.099965,6.944255,0.000512,0.000963,0.069308,0.002168,0.051138,0.101839,8.449068,0.000468,0.000998,0.085020,0.002315
47,0.007700,0.051377,0.093199,7.031370,0.000467,0.000887,0.070280,0.002057,0.054690,0.097579,7.120162,0.000500,0.000939,0.071101,0.002149,0.047187,0.099374,8.406522,0.000427,0.000956,0.084254,0.002225
48,0.007650,0.050633,0.091289,7.046570,0.000460,0.000869,0.070432,0.002033,0.057961,0.090639,7.244566,0.000532,0.000868,0.072355,0.002123,0.051750,0.098533,8.815755,0.000473,0.000958,0.089697,0.002328
49,0.007600,0.050509,0.090562,6.910378,0.000459,0.000862,0.069071,0.002011,0.057567,0.093226,7.163596,0.000528,0.000894,0.071511,0.002137,0.048319,0.098016,8.187768,0.000439,0.000954,0.082965,0.002223
50,0.007550,0.048227,0.089438,6.851901,0.000436,0.000850,0.068487,0.001971,0.054584,0.095907,7.476296,0.000498,0.000923,0.074607,0.002167,0.046329,0.101929,8.539795,0.000421,0.000998,0.087078,0.002290
51,0.007500,0.048280,0.087954,6.830284,0.000437,0.000836,0.068271,0.001955,0.052088,0.094461,7.254142,0.000474,0.000909,0.072434,0.002107,0.045478,0.096341,8.503860,0.000411,0.000941,0.085784,0.002210
52,0.007450,0.046236,0.087708,6.703445,0.000416,0.000833,0.067001,0.001919,0.060517,0.092978,7.427919,0.000557,0.000893,0.074136,0.002191,0.051947,0.094810,8.500977,0.000474,0.000916,0.085310,0.002244
53,0.007400,0.046935,0.086898,6.728882,0.000423,0.000824,0.067258,0.001920,0.055264,0.101611,8.076363,0.000505,0.000978,0.080560,0.002289,0.048489,0.104056,9.070995,0.000441,0.001005,0.091314,0.002360
54,0.007350,0.044348,0.086336,6.590099,0.000398,0.000819,0.065870,0.001875,0.052574,0.093696,7.484625,0.000479,0.000900,0.074669,0.002126,0.045680,0.096877,8.836262,0.000412,0.000939,0.089159,0.002243
55,0.007300,0.044888,0.085063,6.675294,0.000403,0.000806,0.066723,0.001877,0.052700,0.096613,7.787662,0.000480,0.000928,0.077720,0.002186,0.045437,0.098862,8.698641,0.000411,0.000954,0.087669,0.002242
56,0.007250,0.044157,0.084840,6.665949,0.000396,0.000804,0.066627,0.001866,0.068250,0.098483,7.234971,0.000633,0.000950,0.072225,0.002305,0.058551,0.093968,8.089656,0.000541,0.000907,0.082193,0.002270
57,0.007200,0.042801,0.083308,6.469295,0.000383,0.000789,0.064661,0.001818,0.050890,0.091766,6.837901,0.000462,0.000880,0.068222,0.002024,0.044234,0.093459,8.403076,0.000398,0.000897,0.084364,0.002138
58,0.007150,0.042912,0.083013,6.434169,0.000384,0.000786,0.064308,0.001813,0.049678,0.099326,7.070241,0.000451,0.000957,0.070567,0.002113,0.042020,0.097493,8.238403,0.000375,0.000940,0.082891,0.002144
59,0.007100,0.042211,0.083171,6.479578,0.000377,0.000788,0.064763,0.001812,0.051682,0.095749,7.232153,0.000471,0.000919,0.072201,0.002112,0.042751,0.096680,8.246777,0.000383,0.000932,0.083615,0.002151
