epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.318182,0.236799,21.445581,0.003132,0.002312,0.214420,0.007589,0.201392,0.209113,20.683017,0.001964,0.002063,0.206129,0.006088,0.206552,0.223246,22.606564,0.002031,0.002198,0.235445,0.006584
2,0.009950,0.194220,0.221738,20.540614,0.001893,0.002163,0.205370,0.006110,0.165785,0.203715,18.089600,0.001608,0.002011,0.180343,0.005422,0.164755,0.212388,19.295097,0.001611,0.002096,0.194009,0.005646
3,0.009900,0.165605,0.214776,18.027048,0.001607,0.002093,0.180238,0.005503,0.157825,0.203071,16.551041,0.001528,0.002003,0.165149,0.005182,0.158148,0.213234,18.792429,0.001548,0.002099,0.190153,0.005549
4,0.009850,0.148220,0.201281,16.321567,0.001433,0.001960,0.163178,0.005025,0.146465,0.191885,15.096958,0.001414,0.001889,0.150715,0.004810,0.139239,0.198983,15.511348,0.001352,0.001989,0.157421,0.004915
5,0.009800,0.134847,0.191169,15.409583,0.001300,0.001863,0.154058,0.004703,0.125645,0.185179,13.284920,0.001207,0.001822,0.132633,0.004355,0.121762,0.187403,14.072504,0.001176,0.001885,0.142268,0.004484
6,0.009750,0.120874,0.177175,14.076984,0.001160,0.001721,0.140733,0.004288,0.112205,0.159127,11.408383,0.001073,0.001557,0.113936,0.003769,0.107106,0.164350,13.112514,0.001026,0.001615,0.131641,0.003957
7,0.009700,0.104468,0.162303,12.174027,0.000996,0.001574,0.121704,0.003788,0.101432,0.156363,11.646576,0.000966,0.001528,0.116283,0.003657,0.097130,0.167851,13.080660,0.000936,0.001670,0.133269,0.003938
8,0.009650,0.106442,0.167340,13.198328,0.001016,0.001624,0.131944,0.003959,0.100160,0.148640,10.817993,0.000954,0.001451,0.108061,0.003485,0.094597,0.157631,12.117833,0.000905,0.001569,0.122000,0.003694
9,0.009600,0.093562,0.150307,11.230092,0.000888,0.001456,0.112263,0.003467,0.093817,0.158723,10.129068,0.000890,0.001552,0.101166,0.003453,0.088550,0.167733,12.301166,0.000848,0.001700,0.125687,0.003805
10,0.009550,0.180986,0.197025,34.587238,0.001761,0.001911,0.345796,0.007130,0.148360,0.168615,13.637172,0.001434,0.001650,0.136328,0.004447,0.140345,0.174196,15.036852,0.001363,0.001724,0.150902,0.004595
11,0.009500,0.113282,0.158981,11.945242,0.001084,0.001541,0.119416,0.003820,0.113379,0.155222,11.282542,0.001084,0.001515,0.112721,0.003727,0.105911,0.155792,12.741131,0.001015,0.001554,0.128630,0.003855
12,0.009450,0.096384,0.143369,10.736165,0.000916,0.001386,0.107330,0.003375,0.094461,0.134450,10.326230,0.000897,0.001304,0.103130,0.003232,0.088403,0.146696,11.744765,0.000843,0.001455,0.119926,0.003498
13,0.009400,0.088270,0.138171,10.320610,0.000835,0.001334,0.103174,0.003200,0.089972,0.132180,9.240629,0.000851,0.001282,0.092320,0.003057,0.084987,0.139044,10.737981,0.000804,0.001373,0.108508,0.003262
14,0.009350,0.082503,0.131816,9.752293,0.000777,0.001271,0.097490,0.003023,0.084277,0.130482,8.850664,0.000795,0.001264,0.088433,0.002943,0.078465,0.140001,10.301433,0.000739,0.001386,0.104596,0.003171
