epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.309597,0.250935,21.767177,0.003046,0.002451,0.217634,0.007673,0.202088,0.216987,19.690287,0.001970,0.002144,0.196288,0.006077,0.207337,0.228325,22.105227,0.002044,0.002257,0.225791,0.006559
2,0.009950,0.192129,0.223942,20.748502,0.001872,0.002184,0.207447,0.006131,0.171079,0.210130,18.096431,0.001660,0.002073,0.180457,0.005537,0.172860,0.221717,21.506910,0.001699,0.002190,0.221429,0.006103
3,0.009900,0.167507,0.218028,18.888230,0.001626,0.002126,0.188845,0.005641,0.157249,0.201693,17.291192,0.001522,0.001991,0.172479,0.005238,0.154831,0.212316,19.216448,0.001516,0.002091,0.195968,0.005566
4,0.009850,0.145592,0.202403,16.328002,0.001407,0.001970,0.163240,0.005010,0.128945,0.188086,13.306265,0.001240,0.001851,0.132931,0.004420,0.125329,0.191369,15.475275,0.001214,0.001887,0.156504,0.004666
5,0.009800,0.128120,0.186414,14.833808,0.001233,0.001814,0.148301,0.004529,0.118822,0.169318,11.900731,0.001139,0.001659,0.118903,0.003987,0.112894,0.173745,13.278972,0.001082,0.001703,0.133099,0.004115
6,0.009750,0.113253,0.170937,13.665323,0.001084,0.001661,0.136618,0.004112,0.110510,0.162627,11.759293,0.001056,0.001593,0.117526,0.003824,0.107189,0.175403,13.131306,0.001028,0.001725,0.132041,0.004074
7,0.009700,0.099203,0.157012,11.909160,0.000944,0.001522,0.119057,0.003656,0.096224,0.154677,10.739507,0.000914,0.001512,0.107211,0.003498,0.092255,0.156492,12.000865,0.000884,0.001554,0.121001,0.003648
8,0.009650,0.090214,0.147450,11.173056,0.000854,0.001426,0.111694,0.003397,0.088008,0.145976,10.358587,0.000832,0.001423,0.103424,0.003289,0.080452,0.144404,11.582236,0.000762,0.001429,0.118503,0.003377
9,0.009600,0.084917,0.138816,10.527304,0.000801,0.001340,0.105238,0.003194,0.084527,0.132471,9.680323,0.000797,0.001286,0.096645,0.003049,0.077189,0.140805,11.454516,0.000727,0.001383,0.115041,0.003260
10,0.009550,0.078212,0.131605,9.982385,0.000734,0.001269,0.099788,0.003001,0.082184,0.128361,8.723844,0.000773,0.001247,0.087100,0.002891,0.074336,0.130898,10.827018,0.000701,0.001292,0.109196,0.003085
