epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.312088,0.246415,21.458778,0.003071,0.002406,0.214551,0.007623,0.209356,0.213866,19.142300,0.002042,0.002110,0.190838,0.006060,0.212615,0.225028,21.609848,0.002097,0.002223,0.220678,0.006526
2,0.009950,0.187849,0.222336,19.872440,0.001830,0.002168,0.198691,0.005985,0.174096,0.210375,17.445466,0.001690,0.002077,0.174092,0.005508,0.173755,0.222564,19.141707,0.001701,0.002196,0.193850,0.005836
3,0.009900,0.161480,0.208575,17.394911,0.001566,0.002033,0.173913,0.005338,0.146006,0.193547,14.265922,0.001410,0.001904,0.142408,0.004738,0.140984,0.198653,15.704816,0.001368,0.001954,0.157190,0.004894
4,0.009850,0.138254,0.191434,15.272347,0.001334,0.001863,0.152691,0.004723,0.134886,0.179157,12.799339,0.001299,0.001757,0.127890,0.004334,0.132819,0.195288,14.710513,0.001283,0.001916,0.148778,0.004687
5,0.009800,0.119405,0.175105,13.745546,0.001146,0.001702,0.137421,0.004222,0.150194,1.225037,16.965813,0.001449,0.012444,0.169140,0.015585,0.114880,0.188453,14.178474,0.001112,0.001968,0.145209,0.004532
6,0.009750,0.114426,0.184872,13.785995,0.001096,0.001789,0.137821,0.004263,0.104192,0.163549,11.513922,0.000993,0.001602,0.115002,0.003745,0.098820,0.165583,12.688794,0.000942,0.001634,0.127487,0.003851
7,0.009700,0.097864,0.156873,11.861524,0.000930,0.001520,0.118579,0.003636,0.096238,0.153762,10.341384,0.000913,0.001504,0.103270,0.003450,0.091052,0.153758,11.454280,0.000871,0.001523,0.116737,0.003561
8,0.009650,0.088501,0.146325,10.785006,0.000837,0.001415,0.107813,0.003330,0.087514,0.139072,9.518092,0.000827,0.001353,0.095103,0.003131,0.081223,0.145997,10.800106,0.000768,0.001438,0.108269,0.003289
9,0.009600,0.083119,0.139210,10.491510,0.000783,0.001346,0.104879,0.003178,0.084369,0.144573,9.458350,0.000795,0.001411,0.094487,0.003151,0.076967,0.143094,10.980183,0.000725,0.001415,0.110501,0.003245
10,0.009550,0.077983,0.134626,9.993408,0.000732,0.001299,0.099899,0.003030,0.080847,0.141874,9.346356,0.000760,0.001381,0.093400,0.003075,0.072580,0.143503,10.816857,0.000681,0.001411,0.109303,0.003186
11,0.009500,0.074701,0.129982,9.671956,0.000699,0.001254,0.096684,0.002920,0.080599,0.132672,9.104446,0.000758,0.001290,0.090940,0.002957,0.072172,0.131343,10.318953,0.000679,0.001307,0.105145,0.003038
12,0.009450,0.072937,0.128166,9.541115,0.000682,0.001235,0.095376,0.002870,0.079945,0.131876,9.782698,0.000751,0.001280,0.097732,0.003008,0.072068,0.137699,10.993351,0.000674,0.001347,0.110646,0.003128
13,0.009400,0.068514,0.122570,9.086563,0.000638,0.001179,0.090833,0.002725,0.071437,0.125704,8.414513,0.000667,0.001221,0.084087,0.002729,0.063135,0.124004,9.896881,0.000590,0.001217,0.100353,0.002810
14,0.009350,0.065634,0.118579,8.768958,0.000609,0.001139,0.087657,0.002625,0.070487,0.118739,7.990993,0.000657,0.001149,0.079847,0.002605,0.062985,0.121344,9.485822,0.000587,0.001191,0.095830,0.002736
15,0.009300,0.063652,0.115237,8.620151,0.000589,0.001106,0.086169,0.002557,0.067349,0.112746,8.077066,0.000626,0.001088,0.080687,0.002521,0.059711,0.119379,9.131207,0.000552,0.001163,0.091592,0.002631
16,0.009250,0.061835,0.113753,8.519386,0.000571,0.001093,0.085161,0.002516,0.066773,0.121463,8.300543,0.000620,0.001181,0.082887,0.002629,0.057137,0.119379,9.455429,0.000531,0.001182,0.095549,0.002669
17,0.009200,0.059885,0.110965,8.418523,0.000552,0.001064,0.084154,0.002457,0.067113,0.112544,8.318423,0.000623,0.001089,0.083018,0.002542,0.058510,0.112928,9.525396,0.000546,0.001105,0.097432,0.002625
18,0.009150,0.058244,0.108973,8.277977,0.000536,0.001044,0.082749,0.002407,0.063788,0.117549,8.305880,0.000590,0.001139,0.082921,0.002559,0.054739,0.114144,9.551919,0.000505,0.001113,0.095944,0.002577
19,0.009100,0.055643,0.106448,7.964696,0.000510,0.001019,0.079616,0.002325,0.065631,0.112325,7.724685,0.000608,0.001087,0.077117,0.002466,0.056469,0.109596,8.928301,0.000523,0.001068,0.090035,0.002492
20,0.009050,0.055366,0.104314,7.809861,0.000507,0.000997,0.078065,0.002285,0.063621,0.107590,7.869979,0.000589,0.001039,0.078580,0.002413,0.055387,0.107571,9.218293,0.000509,0.001040,0.092835,0.002478
21,0.009000,0.053759,0.102329,7.906329,0.000491,0.000978,0.079031,0.002260,0.058959,0.110284,7.563624,0.000542,0.001068,0.075504,0.002365,0.049071,0.101229,8.552739,0.000448,0.000979,0.086380,0.002291
22,0.008950,0.052406,0.099930,7.548249,0.000478,0.000954,0.075450,0.002187,0.058174,0.109317,7.687948,0.000535,0.001058,0.076761,0.002360,0.048789,0.100564,8.610499,0.000445,0.000975,0.086442,0.002284
